Property ID,Listing Date,Address,Square Footage,Property Type,Price,Description
100001,2013-01-01,"123, Park Street, Kolkata, West Bengal, India",2500,Apartment,1200000,"This spacious 2-bedroom apartment located in the heart of Kolkata, Park Street, is an excellent investment opportunity. Boasting a modern interior, the property offers ample natural light, a balcony with city views, and is conveniently located near top-rated schools, hospitals, and shopping centers. Listed for sale at INR 1200000."
100002,2014-07-15,"456, Elgin Road, Kolkata, West Bengal, India",1800,House,1500000,"Experience the charm of this beautiful 3-bedroom house nestled in the serene Elgin Road area of Kolkata. The property boasts a spacious living room, a well-equipped kitchen, and a lush garden. Its prime location makes it an ideal choice for families, with easy access to reputed schools, hospitals, and markets. Listed for sale at INR 1500000."
100003,2015-12-20,"789, Jawaharlal Nehru Road, Kolkata, West Bengal, India",3000,Apartment,2000000,"Discover luxury living in this stunning 4-bedroom apartment situated in the prestigious Jawaharlal Nehru Road neighborhood of Kolkata. Featuring a modern design, the property offers a rooftop terrace, a gym, and a swimming pool. With top-notch security and amenities, this apartment is a perfect investment for those seeking comfort and exclusivity. Listed for sale at INR 2000000."
100004,2016-03-12,"321, Chittaranjan Avenue, Kolkata, West Bengal, India",2000,Apartment,1800000,"Situated in the trendy Chittaranjan Avenue area, this 3-bedroom apartment is an excellent buy for both residential and investment purposes. The property offers ample space, modern amenities, and a prime location. With easy access to schools, hospitals, and shopping centers, this apartment is a must-see for those looking to make a smart real estate investment. Listed for sale at INR 1800000."
100005,2017-09-25,"654, Bidhan Sarani, Kolkata, West Bengal, India",1500,House,1300000,"Experience the charm of this 2-bedroom house located in the prestigious Bidhan Sarani area of Kolkata. The property boasts a spacious living room, a well-equipped kitchen, and a beautiful garden. With its prime location, this house is an ideal choice for families seeking a serene environment and easy access to top-rated schools, hospitals, and markets. Listed for sale at INR 1300000."
100006,2018-02-01,"987, Rabindranath Tagore Road, Kolkata, West Bengal, India",3500,Apartment,2500000,"Discover the epitome of luxury living in this exquisite 5-bedroom apartment located in the prestigious Rabindranath Tagore Road neighborhood of Kolkata. Featuring a contemporary design, the property offers a rooftop terrace, a gym, a swimming pool, and top-notch security. With easy access to top-rated schools, hospitals, and shopping centers, this apartment is a perfect investment for those seeking comfort, exclusivity, and convenience. Listed for sale at INR 2500000."
100007,2019-08-10,"111, Deshapriya Park, Kolkata, West Bengal, India",2200,Apartment,2200000,"Experience modern living in this spacious 3-bedroom apartment located in the prime Deshapriya Park area of Kolkata. Boasting a modern interior, the property offers ample natural light, a balcony with city views, and is conveniently located near top-rated schools, hospitals, and shopping centers. Listed for sale at INR 2200000."
100008,2020-01-15,"222, Bhowanipur Road, Kolkata, West Bengal, India",1600,House,1400000,"Experience the charm of this beautiful 2-bedroom house nestled in the serene Bhowanipur Road area of Kolkata. The property boasts a spacious living room, a well-equipped kitchen, and a lush garden. Its prime location makes it an ideal choice for families, with easy access to reputed schools, hospitals, and markets. Listed for sale at INR 1400000."
100009,2021-06-20,"333, Rashbehari Avenue, Kolkata, West Bengal, India",2800,Apartment,3000000,"Discover luxury living in this stunning 4-bedroom apartment situated in the prestigious Rashbehari Avenue neighborhood of Kolkata. Featuring a modern design, the property offers a rooftop terrace, a gym, and a swimming pool. With top-notch security and amenities, this apartment is a perfect investment for those seeking comfort and exclusivity. Listed for sale at INR 3000000."
100010,2022-03-12,"444, Tollygunge Circular Road, Kolkata, West Bengal, India",1900,Apartment,2000000,"Situated in the trendy Tollygunge Circular Road area, this 3-bedroom apartment is an excellent buy for both residential and investment purposes. The property offers ample space, modern amenities, and a prime location. With easy access to schools, hospitals, and shopping centers, this apartment is a must-see for those looking to make a smart real estate investment. Listed for sale at INR 2000000."
100011,2023-01-01,"555, Southern Avenue, Kolkata, West Bengal, India",2500,Apartment,2200000,"Situated in the trendy Southern Avenue area, this 2-bedroom apartment is an excellent buy for both residential and investment purposes. The property offers ample space, modern amenities, and a prime location. With easy access to schools, hospitals, and shopping centers, this apartment is a must-see for those looking to make a smart real estate investment. Listed for sale at INR 2200000."
1001,2013-01-01,"1234 Elgin Street, Kolkata 700015, India",1200,Apartment,5000000,"Newly renovated 2-bedroom apartment in Elgin Street, Kolkata, with modern interiors and ample natural light. Located in the heart of the city, it offers easy access to popular attractions, restaurants, and transport hubs. Listed for sale at INR 50 Lakhs."
1002,2014-02-15,"5678 Park Lane, Kolkata 700026, India",800,House,3500000,"Spacious 3-bedroom house in Park Lane, Kolkata, with a lush garden and private swimming pool. Offering a serene living experience, it is situated in a quiet neighborhood and is close to schools, hospitals, and shopping centers. Listed for sale at INR 3.5 Crores."
1003,2015-03-20,"9012 Mahatma Gandhi Road, Kolkata 700030, India",1500,Villa,7000000,"Luxurious 4-bedroom villa in Mahatma Gandhi Road, Kolkata, with a spacious living room, modern kitchen, and a private courtyard. Surrounded by lush greenery, it offers a tranquil living experience and is located close to top-rated schools, hospitals, and entertainment venues. Listed for sale at INR 7 Crores."
1004,2016-04-25,"3456 Rabindranath Tagore Road, Kolkata 700045, India",1000,Apartment,6000000,"Elegant 2-bedroom apartment in Rabindranath Tagore Road, Kolkata, with a contemporary design and large windows offering stunning city views. Conveniently located, it is near popular eateries, supermarkets, and transport facilities. Listed for sale at INR 6 Crores."
1005,2017-05-30,"7890 Netaji Subhas Chandra Bose Road, Kolkata 700055, India",1800,Duplex,9000000,"Stunning 3-story duplex in Netaji Subhas Chandra Bose Road, Kolkata, with a rooftop terrace and a private swimming pool. Designed with modern amenities, it offers ample space and privacy. Listed for sale at INR 9 Crores."
1006,2018-06-12,"2345 Jawaharlal Nehru Road, Kolkata 700065, India",1200,Penthouse,8000000,"Luxurious 3-bedroom penthouse in Jawaharlal Nehru Road, Kolkata, with a spacious balcony offering panoramic city views. Equipped with top-notch facilities, it offers a comfortable living experience. Listed for sale at INR 8 Crores."
1007,2019-07-25,"6789 Deshbandhu Road, Kolkata 700075, India",1400,Villa,10000000,"Grand 4-bedroom villa in Deshbandhu Road, Kolkata, with a private pool, lush garden, and a modern interior. Surrounded by serene surroundings, it offers a peaceful living experience. Listed for sale at INR 10 Crores."
1008,2020-08-31,"5678 Sarat Chandra Chattopadhyay Road, Kolkata 700085, India",1600,Apartment,12000000,"Exquisite 3-bedroom apartment in Sarat Chandra Chattopadhyay Road, Kolkata, with a contemporary design, large windows, and a balcony offering city views. Listed for sale at INR 12 Crores."
1009,2021-09-15,"1234 Rabindranath Tagore Road, Kolkata 700095, India",1300,Duplex,11000000,"Spacious 3-story duplex in Rabindranath Tagore Road, Kolkata, with a rooftop terrace, private swimming pool, and a modern interior. Listed for sale at INR 11 Crores."
1010,2022-10-30,"7890 Deshbandhu Road, Kolkata 700105, India",1700,Villa,15000000,"Luxurious 5-bedroom villa in Deshbandhu Road, Kolkata, with a private pool, lush garden, and a modern interior. Surrounded by serene surroundings, it offers a peaceful living experience. Listed for sale at INR 15 Crores."
1011,2023-01-10,"3456 Netaji Subhas Chandra Bose Road, Kolkata 700115, India",1800,Penthouse,14000000,"Stunning 4-bedroom penthouse in Netaji Subhas Chandra Bose Road, Kolkata, with a rooftop terrace, private swimming pool, and a modern interior. Listed for sale at INR 14 Crores."
1012,2024-02-15,"9012 Mahatma Gandhi Road, Kolkata 700125, India",1900,Villa,16000000,"Grand 6-bedroom villa in Mahatma Gandhi Road, Kolkata, with a private pool, lush garden, and a modern interior. Surrounded by serene surroundings, it offers a peaceful living experience. Listed for sale at INR 16 Crores."
1013,2025-03-20,"6789 Jawaharlal Nehru Road, Kolkata 700135, India",1500,Apartment,13000000,"Exquisite 4-bedroom apartment in Jawaharlal Nehru Road, Kolkata, with a contemporary design, large windows, and a balcony offering city views. Listed for sale at INR 13 Crores."
1014,2026-04-25,"1234 Rabindranath Tagore Road, Kolkata 700145, India",1400,Duplex,12000000,"Spacious 4-story duplex in Rabindranath Tagore Road, Kolkata, with a rooftop terrace, private swimming pool, and a modern interior. Listed for sale at INR 12 Crores."
1001,2013-01-01,"1234 Elm St, Kolkata, West Bengal 700001, India",1200,Apartment,500000,"This spacious 3-bedroom apartment located in the heart of Kolkata is perfect for a growing family. With modern amenities and a prime location, it offers convenience and comfort. Listed in 2013 for INR 5000000."
1002,2014-05-15,"5678 Oak Ave, Kolkata, West Bengal 700012, India",1500,House,650000,"Nestled in a peaceful residential area, this 4-bedroom house boasts a large garden and ample parking space. Listed in 2014 for INR 6500000."
1003,2015-10-20,"9012 Pine Ln, Kolkata, West Bengal 700021, India",1800,Villa,800000,"Experience luxurious living in this stunning 5-bedroom villa, featuring a private pool and a rooftop terrace. Listed in 2015 for INR 8000000."
1004,2016-02-12,"3456 Birch St, Kolkata, West Bengal 700031, India",1000,Apartment,700000,"Centrally located, this 2-bedroom apartment offers easy access to Kolkata's top attractions. Listed in 2016 for INR 7000000."
1005,2017-07-25,"6789 Cedar Ave, Kolkata, West Bengal 700041, India",1400,House,900000,"Discover the charm of this 3-bedroom house, featuring a beautiful garden and a cozy fireplace. Listed in 2017 for INR 9000000."
1006,2018-11-08,"1234 Willow St, Kolkata, West Bengal 700051, India",2000,Villa,1000000,"Indulge in the ultimate lifestyle with this magnificent 6-bedroom villa, offering a private gym and a home theater. Listed in 2018 for INR 10000000."
1007,2019-04-14,"5678 Maple Ln, Kolkata, West Bengal 700061, India",1600,Apartment,850000,"Experience contemporary living in this 4-bedroom apartment, complete with a modern kitchen and a spacious balcony. Listed in 2019 for INR 8500000."
1008,2020-08-22,"9012 Cherry Ln, Kolkata, West Bengal 700071, India",2500,House,1200000,"Boasting a stunning design, this 7-bedroom house is perfect for large families or those who love to entertain. Listed in 2020 for INR 12000000."
1009,2021-02-06,"3456 Birch St, Kolkata, West Bengal 700031, India",1200,Apartment,900000,"Situated in a prime location, this 3-bedroom apartment offers breathtaking city views and modern amenities. Listed in 2021 for INR 9000000."
1010,2022-06-15,"6789 Cedar Ave, Kolkata, West Bengal 700041, India",1800,House,1100000,"A hidden gem, this 4-bedroom house offers a serene living experience, with a private pool and a lush garden. Listed in 2022 for INR 11000000."
1011,2023-01-20,"1234 Elm St, Kolkata, West Bengal 700001, India",1400,Apartment,850000,"Experience luxury living in this 3-bedroom apartment, featuring high-end finishes and a spacious balcony. Listed in 2023 for INR 8500000."
1012,2024-05-01,"5678 Oak Ave, Kolkata, West Bengal 700012, India",2000,Villa,1200000,"A perfect blend of modern design and traditional charm, this 5-bedroom villa offers a private pool, a home theater, and a rooftop terrace. Listed in 2024 for INR 12000000."
1013,2025-08-15,"9012 Pine Ln, Kolkata, West Bengal 700021, India",1600,House,1000000,"Experience the beauty of this 4-bedroom house, featuring a private courtyard, a spacious living room, and a modern kitchen. Listed in 2025 for INR 10000000."
1014,2026-02-01,"3456 Birch St, Kolkata, West Bengal 700031, India",1300,Apartment,950000,"A perfect combination of style and comfort, this 2-bedroom apartment offers modern amenities and a convenient location. Listed in 2026 for INR 9500000."
1015,2027-07-15,"6789 Cedar Ave, Kolkata, West Bengal 700041, India",2200,Villa,1300000,"A masterpiece of modern architecture, this 6-bedroom villa offers a private gym, a home theater, and a rooftop terrace with panoramic views. Listed in 2027 for INR 13000000."
1001,2012-05-15,"123, Park Street, Kolkata 700071, India",1500,Apartment,3500000,"A spacious 3-bedroom apartment with a balcony and scenic views of the Hooghly River. Located in a prime area of Kolkata, this property has been well-maintained and features modern amenities. Listed for sale in 2012."
1002,2013-07-20,"456, Rabindranath Tagore Road, Kolkata 700020, India",1200,House,4000000,"A beautiful 4-bedroom house with a garden and private pool. Situated in a peaceful neighborhood, this property boasts classic architecture and is rich in cultural history. Listed for sale in 2013."
1003,2014-09-01,"789, Jadavpur Road, Kolkata 700046, India",1000,Apartment,2800000,"A cozy 2-bedroom apartment with a parking space and access to community facilities. Ideally located near popular schools and hospitals, this property is perfect for families. Listed for sale in 2014."
1004,2015-11-15,"321, Rashbehari Avenue, Kolkata 700054, India",1800,House,5000000,"A stunning 5-bedroom house with a rooftop terrace and a large backyard. Featuring contemporary design and eco-friendly materials, this property is an excellent investment for those seeking a sustainable lifestyle. Listed for sale in 2015."
1005,2016-03-01,"654, Deshapriya Park, Kolkata 700026, India",1400,Apartment,3200000,"A charming 3-bedroom apartment with a view of the city. Conveniently located near major transportation hubs, this property offers easy access to Kolkata's vibrant cultural scene. Listed for sale in 2016."
1006,2017-06-15,"876, Tollygunge Circle, Kolkata 700033, India",1600,House,4500000,"A luxurious 6-bedroom house with a swimming pool and a home theater. Designed with the latest technology and security features, this property is perfect for those who value privacy and comfort. Listed for sale in 2017."
1007,2018-09-01,"234, Gariahat Road, Kolkata 700045, India",1300,Apartment,3000000,"A modern 2-bedroom apartment with a gym and a play area. Ideally located near popular eateries and shops, this property is perfect for young professionals. Listed for sale in 2018."
1008,2019-11-15,"567, Behala, Kolkata 700051, India",1900,House,5500000,"A magnificent 7-bedroom house with a tennis court and a helipad. Offering panoramic views of the city, this property is a true masterpiece for those seeking luxury and exclusivity. Listed for sale in 2019."
1009,2020-03-01,"987, Lake Town, Kolkata 700018, India",1700,Apartment,4000000,"A spacious 4-bedroom apartment with a private garden and a Jacuzzi. Located in a serene lakefront community, this property is perfect for those who value peace and tranquility. Listed for sale in 2020."
1010,2021-06-15,"345, Alipore, Kolkata 700027, India",1100,House,3500000,"A quaint 3-bedroom house with a beautiful terrace and a cozy fireplace. Ideally located near popular schools and hospitals, this property is perfect for families. Listed for sale in 2021."